density,time_of_day,week_or_weekend,year,month,time_binary,week_binary,amenities_total,public_transport,pedestrian_total
Pt92,MD,weekend,2017,9,0.5,0,15,35,8216
Pt93,MD,weekend,2017,9,0.5,0,11,11,3428
Pt94,MD,weekend,2017,9,0.5,0,13,4,942
Pt95,MD,weekend,2017,9,0.5,0,0,15,369
Pt96,MD,weekend,2017,9,0.5,0,0,2,247
Pt97,MD,weekend,2017,9,0.5,0,1,1,420
Pt98,MD,weekend,2017,9,0.5,0,3,149,1005
Pt99,MD,weekend,2017,9,0.5,0,0,2,219
Pt100,MD,weekend,2017,9,0.5,0,2,6,502
Pt1,AM,week,2017,5,1,1,2,28,1916
Pt2,AM,week,2017,5,1,1,0,3,1848
Pt3,AM,week,2017,5,1,1,1,19,2557
Pt4,AM,week,2017,5,1,1,0,3,2125
Pt5,AM,week,2017,5,1,1,0,2,980
Pt6,AM,week,2017,5,1,1,0,6,740
Pt7,AM,week,2017,5,1,1,0,13,2027
Pt8,AM,week,2017,5,1,1,0,31,1186
Pt9,AM,week,2017,5,1,1,2,4,1517
Pt10,AM,week,2017,5,1,1,17,0,812
Pt11,AM,week,2017,5,1,1,17,22,3108
Pt12,AM,week,2017,5,1,1,22,13,1611
Pt13,AM,week,2017,5,1,1,9,4,553
Pt14,AM,week,2017,5,1,1,33,10,2930
Pt15,AM,week,2017,5,1,1,9,19,1791
Pt16,AM,week,2017,5,1,1,2,19,2441
Pt17,AM,week,2017,5,1,1,10,1,2052
Pt18,AM,week,2017,5,1,1,28,3,2347
Pt19,AM,week,2017,5,1,1,7,9,1217
Pt20,AM,week,2017,5,1,1,0,33,386
Pt21,AM,week,2017,5,1,1,1,1,903
Pt22,AM,week,2017,5,1,1,15,24,895
Pt23,AM,week,2017,5,1,1,41,34,1785
Pt24,AM,week,2017,5,1,1,0,1,845
Pt25,AM,week,2017,5,1,1,19,4,790
Pt26,AM,week,2017,5,1,1,1,8,3166
Pt27,AM,week,2017,5,1,1,2,1,1908
Pt28,AM,week,2017,5,1,1,8,1,1541
Pt29,AM,week,2017,5,1,1,7,3,1034
Pt30,AM,week,2017,5,1,1,1,1,244
pt31,AM,week,2017,5,1,1,0,0,562
Pt32,AM,week,2017,5,1,1,2,68,1849
Pt33,AM,week,2017,5,1,1,2,3,117
Pt34,AM,week,2017,5,1,1,67,0,874
pt35,AM,week,2017,5,1,1,28,2,3522
Pt36,AM,week,2017,5,1,1,12,28,6274
Pt37,AM,week,2017,5,1,1,72,3,1962
Pt38,AM,week,2017,5,1,1,19,37,6923
Pt39,AM,week,2017,5,1,1,91,1,1558
Pt40,AM,week,2017,5,1,1,30,113,1647
Pt41,AM,week,2017,5,1,1,88,10,3303
Pt42,AM,week,2017,5,1,1,88,75,9241
Pt43,AM,week,2017,5,1,1,62,18,1352
Pt44,AM,week,2017,5,1,1,4,2,8389
Pt45,AM,week,2017,5,1,1,5,1,6445
Pt46,AM,week,2017,5,1,1,36,58,1391
Pt47,AM,week,2017,5,1,1,14,2,4637
Pt48,AM,week,2017,5,1,1,27,1,1977
Pt49,AM,week,2017,5,1,1,24,0,4489
Pt50,AM,week,2017,5,1,1,6,1,624
Pt51,AM,week,2017,5,1,1,29,67,9740
Pt52,AM,week,2017,5,1,1,31,80,2261
Pt53,AM,week,2017,5,1,1,46,86,5733
Pt54,AM,week,2017,5,1,1,9,4,2227
Pt55,AM,week,2017,5,1,1,38,2,1769
Pt56,AM,week,2017,5,1,1,1,24,1343
Pt57,AM,week,2017,5,1,1,63,92,11874
Pt58,AM,week,2017,5,1,1,32,24,5923
Pt59,AM,week,2017,5,1,1,233,19,3585
Pt60,AM,week,2017,5,1,1,25,8,2604
Pt61,AM,week,2017,5,1,1,101,9,5965
Pt62,AM,week,2017,5,1,1,92,41,6508
Pt63,AM,week,2017,5,1,1,41,16,7630
Pt64,AM,week,2017,5,1,1,62,9,3733
Pt65,AM,week,2017,5,1,1,134,9,3869
Pt66,AM,week,2017,5,1,1,101,24,9078
Pt67,AM,week,2017,5,1,1,153,56,6066
Pt68,AM,week,2017,5,1,1,67,54,4902
Pt69,AM,week,2017,5,1,1,44,52,4816
Pt70,AM,week,2017,5,1,1,0,13,255
Pt71,AM,week,2017,5,1,1,11,18,782
Pt72,AM,week,2017,5,1,1,11,1,1256
Pt73,AM,week,2017,5,1,1,19,4,2920
Pt74,AM,week,2017,5,1,1,7,11,787
Pt75,AM,week,2017,5,1,1,5,4,637
Pt76,AM,week,2017,5,1,1,8,6,499
Pt77,AM,week,2017,5,1,1,19,37,824
Pt78,AM,week,2017,5,1,1,9,2,707
Pt79,AM,week,2017,5,1,1,4,3,825
Pt80,AM,week,2017,5,1,1,17,3,1413
Pt81,AM,week,2017,5,1,1,4,26,1190
Pt82,AM,week,2017,5,1,1,4,4,2782
Pt83,AM,week,2017,5,1,1,4,5,74
Pt84,AM,week,2017,5,1,1,1,1,851
Pt85,AM,week,2017,5,1,1,18,71,1458
Pt86,AM,week,2017,5,1,1,16,1,936
Pt87,AM,week,2017,5,1,1,3,5,288
Pt88,AM,week,2017,5,1,1,4,1,349
Pt89,AM,week,2017,5,1,1,3,37,1695
Pt90,AM,week,2017,5,1,1,1,32,422
Pt91,AM,week,2017,5,1,1,1,35,6045
Pt92,AM,week,2017,5,1,1,15,35,3516
Pt93,AM,week,2017,5,1,1,11,11,964
Pt94,AM,week,2017,5,1,1,13,4,1448
Pt95,AM,week,2017,5,1,1,0,15,339
Pt96,AM,week,2017,5,1,1,0,2,221
Pt97,AM,week,2017,5,1,1,1,1,555
Pt98,AM,week,2017,5,1,1,3,149,1105
Pt99,AM,week,2017,5,1,1,0,2,131
Pt100,AM,week,2017,5,1,1,2,6,612
Pt1,PM,week,2017,5,0,1,2,28,5893
Pt2,PM,week,2017,5,0,1,0,3,4920
Pt3,PM,week,2017,5,0,1,1,19,12125
Pt4,PM,week,2017,5,0,1,0,3,3130
Pt5,PM,week,2017,5,0,1,0,2,3700
Pt6,PM,week,2017,5,0,1,0,6,1909
Pt7,PM,week,2017,5,0,1,0,13,9045
Pt8,PM,week,2017,5,0,1,0,31,4673
Pt9,PM,week,2017,5,0,1,2,4,7384
Pt10,PM,week,2017,5,0,1,17,0,2570
Pt11,PM,week,2017,5,0,1,17,22,4288
Pt12,PM,week,2017,5,0,1,22,13,6632
Pt13,PM,week,2017,5,0,1,9,4,2253
Pt14,PM,week,2017,5,0,1,33,10,8736
Pt15,PM,week,2017,5,0,1,9,19,6544
Pt16,PM,week,2017,5,0,1,2,19,3888
Pt17,PM,week,2017,5,0,1,10,1,3015
Pt18,PM,week,2017,5,0,1,28,3,5287
Pt19,PM,week,2017,5,0,1,7,9,2749
Pt20,PM,week,2017,5,0,1,0,33,1792
Pt21,PM,week,2017,5,0,1,1,1,3955
Pt22,PM,week,2017,5,0,1,15,24,2459
Pt23,PM,week,2017,5,0,1,41,34,9793
Pt24,PM,week,2017,5,0,1,0,1,3061
Pt25,PM,week,2017,5,0,1,19,4,2787
Pt26,PM,week,2017,5,0,1,1,8,6533
Pt27,PM,week,2017,5,0,1,2,1,5716
Pt28,PM,week,2017,5,0,1,8,1,3588
Pt29,PM,week,2017,5,0,1,7,3,1719
Pt30,PM,week,2017,5,0,1,1,1,2523
pt31,PM,week,2017,5,0,1,0,0,2708
Pt32,PM,week,2017,5,0,1,2,68,2820
Pt33,PM,week,2017,5,0,1,2,3,262
Pt34,PM,week,2017,5,0,1,67,0,3978
pt35,PM,week,2017,5,0,1,28,2,6747
Pt36,PM,week,2017,5,0,1,12,28,14040
Pt37,PM,week,2017,5,0,1,72,3,6832
Pt38,PM,week,2017,5,0,1,19,37,9546
Pt39,PM,week,2017,5,0,1,91,1,3627
Pt40,PM,week,2017,5,0,1,30,113,4534
Pt41,PM,week,2017,5,0,1,88,10,18021
Pt42,PM,week,2017,5,0,1,88,75,20258
Pt43,PM,week,2017,5,0,1,62,18,4866
Pt44,PM,week,2017,5,0,1,4,2,25824
Pt45,PM,week,2017,5,0,1,5,1,23214
Pt46,PM,week,2017,5,0,1,36,58,6610
Pt47,PM,week,2017,5,0,1,14,2,9223
Pt48,PM,week,2017,5,0,1,27,1,4998
Pt49,PM,week,2017,5,0,1,24,0,12400
Pt50,PM,week,2017,5,0,1,6,1,2681
Pt51,PM,week,2017,5,0,1,29,67,24343
Pt52,PM,week,2017,5,0,1,31,80,4475
Pt53,PM,week,2017,5,0,1,46,86,10277
Pt54,PM,week,2017,5,0,1,9,4,7957
Pt55,PM,week,2017,5,0,1,38,2,8995
Pt56,PM,week,2017,5,0,1,1,24,7407
Pt57,PM,week,2017,5,0,1,63,92,25185
Pt58,PM,week,2017,5,0,1,32,24,11981
Pt59,PM,week,2017,5,0,1,233,19,12022
Pt60,PM,week,2017,5,0,1,25,8,5938
Pt61,PM,week,2017,5,0,1,101,9,12548
Pt62,PM,week,2017,5,0,1,92,41,12931
Pt63,PM,week,2017,5,0,1,41,16,13654
Pt64,PM,week,2017,5,0,1,62,9,10241
Pt65,PM,week,2017,5,0,1,134,9,17620
Pt66,PM,week,2017,5,0,1,101,24,21417
Pt67,PM,week,2017,5,0,1,153,56,12107
Pt68,PM,week,2017,5,0,1,67,54,16330
Pt69,PM,week,2017,5,0,1,44,52,16366
Pt70,PM,week,2017,5,0,1,0,13,537
Pt71,PM,week,2017,5,0,1,11,18,5360
Pt72,PM,week,2017,5,0,1,11,1,4618
Pt73,PM,week,2017,5,0,1,19,4,8534
Pt74,PM,week,2017,5,0,1,7,11,5835
Pt75,PM,week,2017,5,0,1,5,4,1484
Pt76,PM,week,2017,5,0,1,8,6,559
Pt77,PM,week,2017,5,0,1,19,37,3545
Pt78,PM,week,2017,5,0,1,9,2,999
Pt79,PM,week,2017,5,0,1,4,3,3599
Pt80,PM,week,2017,5,0,1,17,3,9075
Pt81,PM,week,2017,5,0,1,4,26,1616
Pt82,PM,week,2017,5,0,1,4,4,8993
Pt83,PM,week,2017,5,0,1,4,5,195
Pt84,PM,week,2017,5,0,1,1,1,2248
Pt85,PM,week,2017,5,0,1,18,71,4242
Pt86,PM,week,2017,5,0,1,16,1,2820
Pt87,PM,week,2017,5,0,1,3,5,1330
Pt88,PM,week,2017,5,0,1,4,1,1899
Pt89,PM,week,2017,5,0,1,3,37,2496
Pt90,PM,week,2017,5,0,1,1,32,2045
Pt91,PM,week,2017,5,0,1,1,35,10126
Pt92,PM,week,2017,5,0,1,15,35,11835
Pt93,PM,week,2017,5,0,1,11,11,4891
Pt94,PM,week,2017,5,0,1,13,4,2938
Pt95,PM,week,2017,5,0,1,0,15,876
Pt96,PM,week,2017,5,0,1,0,2,325
Pt97,PM,week,2017,5,0,1,1,1,545
Pt98,PM,week,2017,5,0,1,3,149,1687
Pt99,PM,week,2017,5,0,1,0,2,224
Pt100,PM,week,2017,5,0,1,2,6,699
Pt1,MD,weekend,2017,5,0.5,0,2,28,2776
Pt2,MD,weekend,2017,5,0.5,0,0,3,2143
Pt3,MD,weekend,2017,5,0.5,0,1,19,6499
Pt4,MD,weekend,2017,5,0.5,0,0,3,1123
Pt5,MD,weekend,2017,5,0.5,0,0,2,2526
Pt6,MD,weekend,2017,5,0.5,0,0,6,925
Pt7,MD,weekend,2017,5,0.5,0,0,13,6683
Pt8,MD,weekend,2017,5,0.5,0,0,31,3420
Pt9,MD,weekend,2017,5,0.5,0,2,4,5356
Pt10,MD,weekend,2017,5,0.5,0,17,0,2298
Pt11,MD,weekend,2017,5,0.5,0,17,22,3721
Pt12,MD,weekend,2017,5,0.5,0,22,13,4163
Pt13,MD,weekend,2017,5,0.5,0,9,4,2134
Pt14,MD,weekend,2017,5,0.5,0,33,10,6209
Pt15,MD,weekend,2017,5,0.5,0,9,19,4502
Pt16,MD,weekend,2017,5,0.5,0,2,19,2533
Pt17,MD,weekend,2017,5,0.5,0,10,1,1712
Pt18,MD,weekend,2017,5,0.5,0,28,3,4713
